Student_ID,Name,Gender,Department,10th_Percentage,12th_Percentage,Graduation_Percentage,Attendance_Percentage,Internship,Technical_Skills_Score,Aptitude_Score,Communication_Score,Projects_Count,Backlogs,Placement_Status,Company_Name,Package_LPA,Placement_Category,Performance_Level
S030,Darshit Dani,Female,CS,74%,61%,72%,90%,Completed,62,79,64,3,3,Not Placed,,,Low Package,Good
S031,Aarush Sekhon,Female,Electronics,81%,61%,67%,81%,Not Completed,72,91,67,2,0,Not Placed,,,Low Package,Average
S032,Zoya Koshy,Female,Civil,92%,67%,84%,77%,Not Completed,88,77,56,3,0,Not Placed,,,Low Package,Excellent
S033,Neelofar Rastogi,Male,Mechanical,87%,64%,81%,85%,Completed,83,84,50,6,3,Not Placed,,,Low Package,Excellent
S034,Raunak Cheema,Female,Civil,78%,95%,68%,77%,Completed,69,92,82,4,2,Not Placed,,,Low Package,Average
S035,Bhamini Dhar,Male,Mechanical,78%,73%,87%,85%,Not Completed,86,69,89,4,1,Not Placed,,,Low Package,Excellent
S036,Yuvaan Yohannan,Male,IT,78%,92%,81%,70%,Not Completed,63,82,93,2,3,Not Placed,,,Low Package,Excellent
S037,Khushi Dyal,Male,Civil,86%,72%,84%,96%,Not Completed,59,51,62,4,1,Placed,Infosys,11.9,High Package,Excellent
S038,Manjari Kala,Male,Civil,74%,71%,89%,68%,Completed,94,50,91,5,1,Placed,Deloitte,10.7,High Package,Excellent
S039,Mamooty Mani,Female,Civil,92%,87%,88%,75%,Completed,58,79,79,6,0,Not Placed,,,Low Package,Excellent
S040,Mishti Koshy,Female,CS,77%,88%,64%,83%,Not Completed,65,90,66,2,3,Not Placed,,,Low Package,Average
S041,Jhanvi Mani,Male,CS,64%,86%,86%,86%,Not Completed,84,55,70,5,2,Placed,Infosys,5.1,Medium Package,Excellent
S042,Dharmajan Iyer,Male,Electronics,84%,90%,60%,87%,Not Completed,63,76,53,3,3,Not Placed,,,Low Package,Average
S043,Kaira Sen,Female,Civil,61%,84%,81%,90%,Not Completed,84,88,84,6,3,Placed,Accenture,5,Low Package,Excellent
S044,Ahana  Buch,Male,IT,87%,68%,89%,76%,Completed,89,84,58,1,3,Placed,Accenture,8.3,High Package,Excellent
S045,Gatik Kohli,Female,Civil,77%,86%,76%,70%,Not Completed,63,79,70,4,3,Not Placed,,,Low Package,Good
S046,Shlok Reddy,Male,IT,75%,72%,61%,74%,Completed,64,91,72,2,0,Placed,Deloitte,11.6,High Package,Average
S047,Vihaan Savant,Female,CS,67%,70%,79%,71%,Completed,57,86,92,5,3,Placed,Accenture,9.3,High Package,Good
S048,Yakshit Gulati,Male,IT,75%,66%,79%,72%,Completed,93,74,86,5,2,Not Placed,,,Low Package,Good
S049,Madhup Comar,Male,Electronics,81%,60%,86%,96%,Completed,77,92,84,1,2,Not Placed,,,Low Package,Excellent
S050,Purab Dave,Female,Electronics,94%,90%,89%,92%,Not Completed,79,95,90,6,2,Placed,Accenture,4.6,Low Package,Excellent
S051,Yakshit Rastogi,Male,Civil,84%,81%,61%,96%,Not Completed,55,67,65,3,2,Not Placed,,,Low Package,Average
S052,Akarsh Mand,Female,Electronics,77%,95%,60%,98%,Completed,72,66,63,2,3,Not Placed,,,Low Package,Average
S053,Shalv Luthra,Female,Civil,88%,61%,65%,83%,Completed,81,85,76,2,1,Placed,Deloitte,5.2,Medium Package,Average
S054,Ishita Gade,Female,Electronics,93%,82%,87%,86%,Not Completed,92,87,69,3,1,Not Placed,,,Low Package,Excellent
S055,Aniruddh Lala,Male,Electronics,71%,72%,73%,95%,Not Completed,66,64,69,3,2,Placed,Cognizant,4.7,Low Package,Good
S056,Prerak Seshadri,Male,Mechanical,60%,94%,68%,82%,Not Completed,68,64,62,1,0,Not Placed,,,Low Package,Average
S057,Akarsh Ram,Male,IT,78%,90%,90%,93%,Completed,58,90,94,3,2,Not Placed,,,Low Package,Excellent
S058,Tiya Kumer,Female,IT,63%,69%,69%,84%,Completed,80,57,66,1,0,Placed,Deloitte,3.6,Low Package,Average
S059,Renee Arora,Male,Electronics,84%,88%,88%,84%,Completed,76,88,85,5,0,Placed,Capgemini,10.1,High Package,Excellent
S060,Hunar Sankaran,Male,CS,73%,76%,65%,75%,Not Completed,89,53,86,2,2,Not Placed,,,Low Package,Average
S061,Lakshay Dugar,Female,Mechanical,62%,74%,78%,83%,Completed,50,76,60,6,0,Not Placed,,,Low Package,Good
S062,Nitara Sridhar,Male,Civil,67%,94%,74%,74%,Not Completed,64,66,93,3,0,Not Placed,,,Low Package,Good
S063,Romil Bhat,Female,Civil,67%,89%,79%,90%,Completed,60,69,53,3,0,Not Placed,,,Low Package,Good
S064,Lakshit Sachar,Female,Electronics,76%,61%,65%,79%,Not Completed,88,52,55,6,3,Not Placed,,,Low Package,Average
S065,Dharmajan Subramaniam,Female,Mechanical,71%,87%,91%,70%,Completed,52,61,86,4,2,Not Placed,,,Low Package,Excellent
S066,Ritvik Ghose,Female,Civil,78%,85%,62%,94%,Not Completed,70,92,71,1,3,Placed,Deloitte,4.4,Low Package,Average
S067,Stuvan Din,Male,Electronics,89%,86%,63%,77%,Not Completed,57,75,70,5,2,Not Placed,,,Low Package,Average
S068,Jayan Jha,Female,Civil,91%,67%,61%,80%,Not Completed,78,53,90,6,3,Placed,Wipro,7.9,Medium Package,Average
S069,Jayant Shenoy,Male,CS,67%,89%,67%,74%,Completed,50,85,85,4,2,Not Placed,,,Low Package,Average
S070,Kaira Kadakia,Female,CS,92%,68%,64%,82%,Not Completed,80,80,76,4,2,Placed,Accenture,8,Medium Package,Average
S071,Indrans Bath,Female,CS,88%,94%,90%,87%,Not Completed,68,69,50,3,2,Not Placed,,,Low Package,Excellent
S072,Ayesha Chakraborty,Female,IT,80%,90%,84%,89%,Not Completed,62,94,70,6,3,Placed,Capgemini,6.4,Medium Package,Excellent
S073,Damini Johal,Female,IT,88%,66%,89%,65%,Completed,58,82,52,6,3,Not Placed,,,Low Package,Excellent
S074,Biju Vala,Female,Mechanical,85%,65%,81%,89%,Completed,59,54,91,3,3,Not Placed,,,Low Package,Excellent
S075,Ranbir Rout,Female,CS,65%,87%,66%,71%,Not Completed,54,65,89,4,0,Not Placed,,,Low Package,Average
S076,Charvi Ahuja,Female,CS,75%,93%,86%,76%,Completed,52,70,51,2,2,Placed,Wipro,6.2,Medium Package,Excellent
S077,Miraan Sidhu,Male,CS,89%,76%,89%,81%,Completed,74,89,89,6,0,Placed,Cognizant,5.2,Medium Package,Excellent
S078,Nehmat Gulati,Female,Electronics,79%,87%,76%,94%,Completed,93,84,68,3,3,Placed,TCS,7,Medium Package,Good
S079,Sana Deshmukh,Female,Electronics,78%,78%,61%,90%,Completed,56,65,80,3,3,Not Placed,,,Low Package,Average
S080,Oorja Dhar,Female,CS,72%,76%,68%,71%,Completed,81,68,88,6,0,Placed,Deloitte,10.2,High Package,Average
S081,Sahil Bumb,Male,IT,78%,80%,86%,76%,Completed,52,87,78,2,2,Not Placed,,,Low Package,Excellent
S082,Shalv Thakur,Female,Mechanical,81%,67%,89%,69%,Completed,82,67,83,2,2,Placed,Wipro,11.2,High Package,Excellent
S083,Adah Kalita,Male,Mechanical,94%,67%,89%,88%,Completed,73,55,85,6,3,Not Placed,,,Low Package,Excellent
S084,Yuvraj  Reddy,Male,Civil,61%,95%,80%,79%,Not Completed,73,56,90,6,3,Not Placed,,,Low Package,Excellent
S085,Tara Varghese,Male,CS,62%,62%,79%,96%,Completed,69,91,94,1,3,Not Placed,,,Low Package,Good
S086,Drishya Dada,Female,Electronics,86%,69%,86%,71%,Completed,58,74,84,4,1,Not Placed,,,Low Package,Excellent
S087,Vardaniya Vasa,Male,Mechanical,66%,83%,82%,68%,Not Completed,94,73,52,4,2,Placed,Accenture,7,Medium Package,Excellent
S088,Indranil Bajaj,Male,Electronics,61%,63%,81%,80%,Not Completed,79,55,57,2,1,Not Placed,,,Low Package,Excellent
S089,Onkar Anne,Female,CS,60%,77%,69%,73%,Completed,63,87,85,5,0,Placed,Deloitte,10.8,High Package,Average
S090,Dishani Jhaveri,Male,Electronics,80%,61%,71%,81%,Not Completed,92,51,57,1,1,Placed,TCS,6.2,Medium Package,Good
S091,Bhavin Dasgupta,Female,Mechanical,92%,66%,88%,97%,Completed,57,54,83,2,3,Not Placed,,,Low Package,Excellent
S092,Seher Saraf,Female,IT,91%,88%,64%,70%,Completed,91,51,79,3,2,Placed,Accenture,10.6,High Package,Average
S093,Anahita Suri,Female,Civil,93%,78%,89%,97%,Completed,67,89,58,5,0,Not Placed,,,Low Package,Excellent
S094,Azad Gara,Male,Civil,88%,74%,86%,86%,Not Completed,57,91,94,4,0,Not Placed,,,Low Package,Excellent
S095,Rasha Dhar,Female,Mechanical,69%,90%,64%,70%,Not Completed,70,77,56,1,3,Not Placed,,,Low Package,Average
S096,Dishani Boase,Male,Electronics,95%,95%,81%,72%,Completed,73,58,56,4,3,Not Placed,,,Low Package,Excellent
S097,Ayesha Kohli,Female,IT,92%,73%,69%,95%,Not Completed,68,88,53,2,3,Not Placed,,,Low Package,Average
S098,Elakshi Baral,Male,Civil,95%,95%,61%,82%,Completed,73,57,85,1,2,Not Placed,,,Low Package,Average
S099,Saira Shukla,Male,CS,69%,85%,64%,74%,Completed,69,71,94,6,2,Not Placed,,,Low Package,Average
S100,Anika Dhaliwal,Female,Mechanical,70%,83%,79%,85%,Completed,63,74,83,5,0,Not Placed,,,Low Package,Good
S101,Abram Handa,Female,Civil,91%,88%,86%,82%,Completed,60,89,59,2,0,Placed,Cognizant,3.7,Low Package,Excellent
S102,Myra Salvi,Female,Electronics,79%,62%,74%,90%,Completed,57,68,77,5,2,Not Placed,,,Low Package,Good
S103,Renee Dixit,Female,IT,60%,91%,87%,76%,Completed,69,63,63,2,0,Placed,Deloitte,5.3,Medium Package,Excellent
S104,Lagan Lall,Male,Civil,62%,87%,61%,94%,Not Completed,85,92,82,1,1,Not Placed,,,Low Package,Average
S105,Nayantara Khatri,Female,Mechanical,67%,85%,61%,85%,Not Completed,75,95,86,2,3,Not Placed,,,Low Package,Average
S106,Dishani Bhatt,Male,Civil,79%,81%,74%,86%,Not Completed,77,56,55,2,2,Placed,Accenture,8.3,High Package,Good
S107,Damini Varma,Male,CS,66%,69%,76%,77%,Completed,82,62,83,2,0,Placed,Deloitte,6.1,Medium Package,Good
S108,Lagan Comar,Female,Electronics,80%,80%,69%,93%,Completed,90,81,61,1,0,Not Placed,,,Low Package,Average
S109,Reyansh Sachar,Male,Mechanical,92%,64%,79%,94%,Not Completed,69,67,90,4,3,Not Placed,,,Low Package,Good
S110,Alia Chacko,Male,Electronics,92%,84%,89%,67%,Completed,68,54,73,4,0,Placed,Cognizant,10.8,High Package,Excellent
S111,Hiran Choudhry,Female,IT,92%,71%,62%,80%,Completed,80,82,88,6,2,Placed,TCS,7.1,Medium Package,Average
S112,Saanvi Varkey,Female,Civil,86%,81%,63%,86%,Not Completed,83,89,83,1,3,Placed,Wipro,6.4,Medium Package,Average
S113,Yashvi Agate,Female,Electronics,69%,81%,65%,74%,Not Completed,93,74,85,3,0,Not Placed,,,Low Package,Average
S114,Taimur Sekhon,Female,CS,93%,65%,87%,97%,Not Completed,88,95,58,3,3,Placed,Wipro,8,Medium Package,Excellent
S115,Kavya Bandi,Female,CS,74%,68%,69%,69%,Completed,61,63,69,3,2,Not Placed,,,Low Package,Average
S116,Ahana  Sane,Male,CS,71%,70%,88%,67%,Completed,71,89,92,4,0,Placed,Infosys,8.4,High Package,Excellent
S117,Vritika Dhar,Female,CS,94%,75%,79%,95%,Not Completed,89,68,78,2,1,Not Placed,,,Low Package,Good
S118,Raghav Bhakta,Female,CS,72%,68%,76%,68%,Not Completed,68,74,79,6,3,Not Placed,,,Low Package,Good
S119,Hiran Shankar,Male,Mechanical,65%,70%,77%,93%,Not Completed,56,95,85,5,2,Not Placed,,,Low Package,Good
S120,Farhan Loke,Male,Civil,63%,85%,92%,88%,Completed,64,78,55,2,3,Not Placed,,,Low Package,Excellent
S121,Charvi D’Alia,Male,Mechanical,69%,68%,62%,83%,Not Completed,64,51,73,4,0,Not Placed,,,Low Package,Average
S122,Nishith Mane,Male,Electronics,93%,87%,67%,83%,Completed,89,50,78,2,3,Placed,TCS,5.3,Medium Package,Average
S123,Trisha Bal,Female,IT,67%,91%,61%,97%,Not Completed,65,76,53,5,0,Not Placed,,,Low Package,Average
S124,Lakshay Chowdhury,Female,CS,65%,93%,83%,69%,Completed,77,50,68,5,1,Placed,Capgemini,6.2,Medium Package,Excellent
S125,Mahika Sachdeva,Female,Mechanical,61%,82%,64%,87%,Completed,52,90,80,2,3,Not Placed,,,Low Package,Average
S126,Shanaya Upadhyay,Female,CS,89%,90%,71%,73%,Completed,52,72,58,1,2,Not Placed,,,Low Package,Good
S127,Vihaan Barad,Female,Electronics,85%,94%,90%,81%,Not Completed,62,52,68,1,0,Placed,TCS,5.8,Medium Package,Excellent
S128,Himmat Joshi,Female,IT,83%,87%,85%,93%,Completed,53,91,72,4,2,Not Placed,,,Low Package,Excellent
S129,Shray Bumb,Female,IT,87%,65%,87%,76%,Not Completed,94,81,81,5,1,Not Placed,,,Low Package,Excellent
S130,Baiju Jaggi,Female,Mechanical,88%,87%,70%,93%,Not Completed,55,70,56,3,2,Not Placed,,,Low Package,Good
S131,Kaira Kurian,Male,IT,85%,83%,92%,75%,Not Completed,89,77,72,1,0,Not Placed,,,Low Package,Excellent
S132,Ryan Mann,Female,Civil,62%,69%,88%,88%,Completed,58,54,52,3,3,Placed,Deloitte,8.8,High Package,Excellent
S133,Vidur Golla,Female,Mechanical,77%,75%,67%,66%,Not Completed,58,83,86,6,0,Not Placed,,,Low Package,Average
S134,Mohanlal Deol,Female,CS,78%,91%,72%,72%,Completed,74,85,83,2,3,Placed,Wipro,10,High Package,Good
S135,Kavya Basu,Female,Mechanical,64%,95%,78%,84%,Completed,95,78,61,2,3,Placed,Deloitte,9.1,High Package,Good
S136,Krish Bera,Female,IT,83%,95%,83%,94%,Completed,64,57,82,5,2,Placed,Deloitte,4.2,Low Package,Excellent
S137,Kaira Sharaf,Female,Electronics,86%,86%,64%,73%,Completed,69,75,54,3,0,Not Placed,,,Low Package,Average
S138,Darshit Som,Male,Electronics,71%,68%,87%,97%,Completed,93,83,79,1,3,Not Placed,,,Low Package,Excellent
S139,Aarav Ganguly,Male,Mechanical,93%,78%,65%,81%,Completed,60,60,69,2,1,Not Placed,,,Low Package,Average
S140,Saanvi Gara,Male,Electronics,70%,69%,70%,86%,Not Completed,69,89,90,5,1,Not Placed,,,Low Package,Good
S141,Advika Bhatia,Female,CS,86%,61%,91%,83%,Completed,52,91,55,6,0,Not Placed,,,Low Package,Excellent
S142,Madhup Yohannan,Female,IT,63%,70%,88%,91%,Not Completed,93,75,65,4,3,Not Placed,,,Low Package,Excellent
S143,Shayak Karnik,Female,Mechanical,85%,68%,83%,97%,Not Completed,88,59,71,5,1,Not Placed,,,Low Package,Excellent
S144,Aniruddh Chandra,Female,CS,69%,66%,63%,83%,Completed,79,57,65,4,2,Not Placed,,,Low Package,Average
S145,Shray Kara,Female,CS,70%,91%,92%,94%,Not Completed,70,86,60,4,1,Not Placed,,,Low Package,Excellent
S146,Damini Dua,Female,CS,73%,82%,63%,68%,Not Completed,55,75,51,3,3,Not Placed,,,Low Package,Average
S147,Nirvi Jayaraman,Female,Mechanical,85%,83%,62%,90%,Not Completed,84,50,68,1,3,Placed,Accenture,4.2,Low Package,Average
S148,Adira Balakrishnan,Female,Electronics,77%,67%,68%,71%,Completed,68,54,85,4,2,Not Placed,,,Low Package,Average
S149,Ehsaan Walia,Male,IT,62%,68%,81%,95%,Not Completed,73,59,85,5,2,Placed,Capgemini,7.6,Medium Package,Excellent
S150,Kanav Bansal,Female,CS,85%,79%,81%,97%,Not Completed,82,58,88,5,1,Not Placed,,,Low Package,Excellent
S151,Saksham Das,Male,Civil,79%,61%,90%,81%,Not Completed,51,73,80,6,2,Not Placed,,,Low Package,Excellent
S152,Madhav Khatri,Female,CS,75%,62%,67%,77%,Completed,80,60,87,1,0,Placed,Capgemini,8.7,High Package,Average
S153,Kanav Agate,Male,Civil,92%,90%,63%,73%,Not Completed,59,76,76,5,2,Not Placed,,,Low Package,Average
S154,Elakshi Datta,Female,CS,89%,94%,81%,87%,Completed,80,83,92,6,2,Not Placed,,,Low Package,Excellent
S155,Yuvraj  Sane,Female,CS,79%,78%,73%,96%,Not Completed,65,67,62,3,3,Not Placed,,,Low Package,Good
S156,Shamik Raju,Female,Civil,82%,69%,78%,67%,Not Completed,67,68,85,3,2,Placed,Capgemini,9.1,High Package,Good
S157,Tushar Zachariah,Female,CS,72%,94%,77%,82%,Completed,91,66,78,2,2,Not Placed,,,Low Package,Good
S158,Priyansh Singh,Male,CS,63%,66%,86%,86%,Completed,53,92,65,6,1,Not Placed,,,Low Package,Excellent
S159,Hunar Dash,Male,Civil,90%,90%,72%,83%,Not Completed,58,50,93,3,0,Not Placed,,,Low Package,Good
S160,Anay Ravel,Male,CS,86%,71%,62%,90%,Not Completed,91,86,55,4,0,Placed,Capgemini,9.6,High Package,Average
S161,Nitara Barman,Male,Mechanical,78%,89%,91%,73%,Completed,50,69,52,5,2,Not Placed,,,Low Package,Excellent
S162,Dharmajan Goswami,Female,CS,60%,81%,78%,77%,Not Completed,57,71,62,2,2,Placed,Cognizant,7.1,Medium Package,Good
S163,Tushar Saran,Male,CS,68%,90%,80%,80%,Not Completed,70,55,82,1,3,Not Placed,,,Low Package,Excellent
S164,Jayan Baria,Female,Electronics,60%,76%,83%,80%,Not Completed,78,67,65,1,3,Not Placed,,,Low Package,Excellent
S165,Tarini Deshpande,Female,IT,78%,83%,74%,79%,Completed,60,75,69,2,3,Not Placed,,,Low Package,Good
S166,Pari Gaba,Female,Electronics,73%,75%,65%,98%,Not Completed,88,73,79,4,1,Not Placed,,,Low Package,Average
S167,Farhan Doctor,Male,Electronics,94%,69%,70%,85%,Not Completed,57,53,86,5,0,Not Placed,,,Low Package,Good
S168,Anahi Hayer,Female,IT,92%,88%,63%,94%,Not Completed,63,95,93,2,0,Not Placed,,,Low Package,Average
S169,Kaira Dewan,Female,IT,85%,76%,60%,78%,Not Completed,53,85,86,5,3,Not Placed,,,Low Package,Average
S170,Sara Chandran,Male,IT,90%,62%,78%,91%,Completed,72,94,77,2,0,Placed,TCS,7.9,Medium Package,Good
S171,Badal Kalla,Female,IT,94%,68%,82%,72%,Completed,74,78,73,2,3,Not Placed,,,Low Package,Excellent
S172,Saanvi Swamy,Female,Electronics,87%,94%,84%,79%,Not Completed,50,51,64,2,1,Not Placed,,,Low Package,Excellent
S173,Krish Talwar,Male,IT,86%,61%,75%,78%,Not Completed,67,62,59,1,2,Not Placed,,,Low Package,Good
S174,Taran Ram,Male,IT,85%,88%,74%,78%,Completed,88,93,78,1,0,Placed,Cognizant,10.8,High Package,Good
S175,Aniruddh Dugal,Female,CS,79%,69%,74%,91%,Completed,86,70,64,3,2,Not Placed,,,Low Package,Good
S176,Tiya Sehgal,Female,Electronics,91%,63%,82%,89%,Not Completed,87,61,85,5,0,Not Placed,,,Low Package,Excellent
S177,Shayak Warrior,Male,Electronics,90%,75%,74%,84%,Not Completed,59,69,76,6,3,Not Placed,,,Low Package,Good
S178,Ivana Ramachandran,Male,Civil,75%,76%,73%,86%,Completed,85,76,53,6,3,Not Placed,,,Low Package,Good
S179,Veer Balan,Male,IT,77%,84%,62%,69%,Completed,55,84,73,2,3,Not Placed,,,Low Package,Average
S180,Ehsaan Ganesh,Male,Civil,75%,73%,85%,80%,Completed,71,69,63,5,3,Placed,Infosys,11.4,High Package,Excellent
S181,Jayesh Vora,Female,Mechanical,76%,83%,92%,96%,Not Completed,79,84,74,4,2,Not Placed,,,Low Package,Excellent
S182,Rohan Gulati,Female,IT,74%,69%,61%,81%,Completed,63,73,70,5,3,Not Placed,,,Low Package,Average
S183,Samaira Dey,Male,Civil,95%,81%,76%,96%,Not Completed,62,71,59,6,2,Placed,Accenture,8.1,High Package,Good
S184,Myra Mangat,Male,Electronics,63%,93%,62%,69%,Not Completed,72,60,60,6,3,Placed,Cognizant,7.9,Medium Package,Average
S185,Badal Bhandari,Male,CS,92%,89%,83%,68%,Completed,58,90,76,5,0,Placed,TCS,9.4,High Package,Excellent
S186,Anika Seth,Female,IT,61%,93%,77%,83%,Not Completed,50,84,51,1,3,Not Placed,,,Low Package,Good
S187,Nitya Bhardwaj,Female,Mechanical,77%,85%,65%,88%,Not Completed,56,83,56,4,1,Placed,Infosys,4.7,Low Package,Average
S188,Divij De,Male,IT,65%,85%,84%,89%,Not Completed,64,69,94,5,1,Not Placed,,,Low Package,Excellent
S189,Hrishita Kala,Female,Mechanical,66%,93%,62%,79%,Not Completed,50,94,90,2,0,Placed,TCS,7.5,Medium Package,Average
S190,Vaibhav Kashyap,Male,CS,80%,61%,73%,74%,Not Completed,54,93,52,6,2,Not Placed,,,Low Package,Good
S191,Sahil Karpe,Female,Electronics,81%,84%,68%,70%,Not Completed,60,86,69,5,0,Placed,Capgemini,10.5,High Package,Average
S192,Tiya Sandal,Female,Mechanical,61%,77%,88%,96%,Not Completed,77,64,56,2,0,Placed,Wipro,8.4,High Package,Excellent
S193,Purab Raj,Female,IT,78%,75%,64%,70%,Not Completed,61,93,77,3,3,Not Placed,,,Low Package,Average
S194,Shray Kulkarni,Female,Mechanical,83%,66%,65%,65%,Completed,90,59,95,3,3,Not Placed,,,Low Package,Average
S195,Anaya Master,Female,IT,61%,65%,82%,70%,Not Completed,56,58,67,5,2,Placed,Infosys,6.9,Medium Package,Excellent
S196,Bhamini Keer,Male,Electronics,75%,93%,70%,89%,Not Completed,68,76,50,2,3,Not Placed,,,Low Package,Good
S197,Dishani Bhatt,Female,Civil,79%,90%,64%,88%,Completed,67,81,69,3,2,Placed,TCS,4.5,Low Package,Average
S198,Heer Varghese,Male,CS,79%,60%,85%,86%,Completed,89,62,88,5,3,Not Placed,,,Low Package,Excellent
S199,Khushi Chaudhari,Male,Mechanical,80%,72%,90%,85%,Not Completed,71,77,78,2,2,Not Placed,,,Low Package,Excellent
S200,Miraan Mander,Male,Mechanical,84%,77%,85%,88%,Not Completed,94,90,68,1,2,Not Placed,,,Low Package,Excellent
S201,Ira Bhattacharyya,Male,Civil,78%,64%,86%,96%,Completed,85,51,93,2,1,Placed,Cognizant,7.2,Medium Package,Excellent
S202,Aradhya Magar,Female,Civil,64%,88%,90%,90%,Not Completed,92,59,66,5,1,Not Placed,,,Low Package,Excellent
S203,Manikya Karan,Male,IT,75%,82%,70%,67%,Not Completed,94,84,73,5,0,Not Placed,,,Low Package,Good
S204,Jiya Lata,Male,Civil,83%,85%,89%,97%,Not Completed,56,50,77,2,2,Placed,Wipro,5,Low Package,Excellent
S205,Purab Borra,Male,IT,69%,82%,79%,86%,Not Completed,56,68,80,4,0,Not Placed,,,Low Package,Good
S206,Elakshi Kala,Female,Mechanical,64%,79%,62%,72%,Completed,80,56,72,1,3,Not Placed,,,Low Package,Average
S207,Nishith Sarraf,Male,Electronics,70%,81%,87%,94%,Not Completed,60,65,93,2,0,Not Placed,,,Low Package,Excellent
S208,Navya Wali,Female,IT,72%,88%,87%,89%,Not Completed,90,92,61,1,1,Not Placed,,,Low Package,Excellent
S209,Sana Char,Male,Mechanical,80%,72%,89%,72%,Completed,95,54,67,3,1,Placed,Capgemini,3.9,Low Package,Excellent
S210,Saanvi Sagar,Male,Mechanical,82%,89%,71%,84%,Not Completed,74,89,88,5,2,Not Placed,,,Low Package,Good
S211,Jayant Setty,Male,CS,83%,69%,92%,89%,Completed,57,65,70,4,1,Not Placed,,,Low Package,Excellent
